,,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99
execution,,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3
workload,slo_class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced_5,critical,1.1,96.66266784140953,4776.044296035242,4835.5733955947135,4738.910727753304,4753.64876475771,1.5,188.77960000000076,6598.287899999999,6712.6759,6523.896299999999,6558.2915,0.3,42.32669999999871,7487.161186666669,7499.689180000002,7459.7338400000035,7502.060540000002,1.2,0.3963076934877314,18.463861764139455,18.71003119882761,18.31372350533988,18.36783058825088,1.3,0.4985981274140272,20.636783220459044,20.92756827586207,20.42897014844804,20.553811237067023,3.2,5.570555947136555,93.02654860499267,89.69693215859031,94.1152255506608,95.26748810572687,1.8,5.134199999999993,145.32826666666665,142.40399999999997,146.0426,147.53819999999996,1.4,4.3526600000001565,170.2578400000001,167.6184,171.18406000000016,171.97106000000016
balanced_5,sheddable,1.1,98.20026781115848,4783.1099422031475,4843.918541630901,4745.7182738197425,4759.693011158798,1.1,144.52580000000034,6794.568666666666,6879.9546,6735.4288,6768.3225999999995,1.4,188.70960000000105,7653.360026666663,7774.673519999996,7599.442639999999,7585.963919999995,1.2,0.40483375357912266,18.46288458903408,18.715454210680313,18.31062045710119,18.362579099320744,1.5,0.6177464599074156,20.703406836121708,21.05651243378905,20.438765973881633,20.614942100694442,3.4,5.864612875536466,94.03398369098711,90.436678111588,95.36398197424892,96.30129098712446,2.1,5.312399999999997,148.42146666666665,144.8962,150.15959999999998,150.2086,2.6,9.008559999999846,190.0816266666665,184.4194799999999,192.3973599999998,193.42803999999975
balanced_8,critical,0.4,44.80088225892359,6227.0526615166045,6248.484603090037,6203.6837208311135,6228.989660628663,0.4,69.70939999999791,9107.448599999998,9135.322999999997,9065.613599999999,9121.409199999998,0.6,109.15480000000025,10708.963946666667,10780.91804,10674.21056,10671.76324,0.4,0.17352543705556656,23.92729281209024,24.03110942817127,23.857583991115703,23.893185016983747,0.7,0.4225133977479061,30.24868276850044,30.489492749731465,30.06697935198356,30.189576203786302,7.5,16.09504528502933,122.81177659385544,117.75614384656367,117.29207032498667,133.387115610016,5.0,18.970799999999883,202.3363999999999,198.10039999999984,194.969,213.93979999999988,65.5,461.2887600000003,403.10622666666677,255.1096,246.46016000000003,707.7489200000003
balanced_8,sheddable,0.4,45.0643733749348,6200.308382388629,6223.379255850235,6178.3148824753,6199.231008840354,0.4,65.27510000000075,9161.891133333333,9194.1291,9128.854,9162.6903,0.7,137.80148000000008,10738.344433333334,10827.0269,10689.22542,10698.78098,0.4,0.17752022063743667,23.973831161619433,24.085596362828728,23.90807614219129,23.927820979838295,0.6,0.33626619474143027,30.752615770057222,30.957060936897573,30.620794742156143,30.679991631117954,7.4,16.257449817992736,125.36030005200207,120.1126838273531,119.85538325533021,136.11283307332295,5.2,19.960999999999814,210.2573666666665,204.8675,202.9717999999999,222.9327999999997,69.3,540.0995999999996,448.9193599999998,270.79683999999986,267.93082,808.0304199999996
balanced_10,critical,1.4,229.36531627516706,8411.609946588367,8400.927045302014,8531.634055369128,8302.26873909396,2.2,542.7328500000003,12906.980499999998,12835.82125,13213.926549999998,12671.193699999998,1.6,470.5708199999972,15126.099853333339,15130.177840000002,15359.346270000004,14888.775450000006,1.1,0.7340789866840041,32.29701470973297,32.30669284397567,32.65921513595363,31.925136149269626,1.2,1.075834581959917,45.24960368140584,45.27366699641339,45.77548931488202,44.699654732922106,14.0,40.1308158557047,163.56042939038034,150.7768355704698,190.01763422818794,149.88681837248325,18.0,95.32884999999987,302.9439166666666,272.15219999999994,366.00419999999986,270.67535,84.2,1043.5561299999997,714.4376433333335,369.37994000000015,1408.74456,365.1884300000003
balanced_10,sheddable,1.3,220.61391142384127,8348.552019453642,8341.863076572849,8462.20344660596,8241.589535182118,1.6,403.0962499999987,13013.013833333333,13003.69425,13219.221749999999,12816.1255,1.4,437.1171499999982,15509.84173333333,15543.910349999996,15711.365999999995,15274.248849999996,1.1,0.722651477142982,32.27064704716677,32.2905147333081,32.6220389426676,31.89938746552462,1.0,0.9086145096439253,45.3280577524453,45.414475709102014,45.73915602893891,44.83054151929498,12.6,36.61405587748342,164.10490535320088,152.99689279801325,187.9659395695364,151.35188369205298,18.4,97.46225000000004,299.9068333333333,270.30325,363.43975,265.97749999999996,75.0,850.030049999996,653.9880999999983,370.63439999999986,1220.664449999996,370.6654499999993
balanced_15,critical,1.9,1040.1289367031059,29614.241616841566,29842.073998623346,30020.38989430223,28980.260957599123,2.4,1852.1344499999905,41352.36225,40943.5308,42482.84519999998,40630.71074999999,3.2,2730.0406799999764,47005.65271666666,47680.48307,48033.257879999976,45303.2172,0.4,0.5447973373406398,71.81263490946331,72.03922307332701,71.90425591907655,71.49442573598637,0.5,0.7964783863443472,80.15934442798897,80.47295696338837,80.32859774353452,79.67647857704402,4.4,949.366727098015,11303.82090701358,11475.923088105728,11692.453180016515,10743.0864529185,8.8,3517.30439999999,19911.07216666666,19937.372899999995,21656.57399999999,18139.2696,5.6,2596.5727399999923,25500.96098666666,26165.5697,26466.942999999996,23870.370260000003
balanced_15,sheddable,3.6,7087.210226888448,108769.55190770233,111396.54865830377,110602.7686333879,104309.33843141532,2.6,8724.10665000003,175565.96265,177296.5421,179062.72625,170338.61959999998,2.3,8176.178110000008,181562.21241666668,182100.24486,185381.28525000002,177205.10714,1.3,1.7626062085265062,66.68604845959787,67.54695850900978,66.72683456930056,65.78435230048328,1.9,2.798835817635819,74.76837141553341,76.16924736554736,74.76545533314132,73.37041154791154,4.0,6642.543287973822,91732.62565462408,94138.33436623943,93563.75151936716,87495.79107826561,2.9,8699.975850000017,157121.62041666664,158354.7696,160855.03375,152155.05789999999,2.4,7722.152970000025,160568.56880333333,160739.87868,164343.99035,156621.83737999998
