execution,workload,slo_class,metric,n_baseline,n_control,ks_D,ks_p,mean_pct_delta,cohens_d,supports_H2
results.1,balanced_5,critical,ttft_ms,1135,1135,0.11629955947136564,4.185862933298106e-07,4.6293009908314025,0.1619548398042812,False
results.1,balanced_5,critical,e2e_ms,1135,1135,0.051982378854625554,0.09311288799099623,-2.2673639787804976,-0.09510764907512695,True
results.1,balanced_5,critical,tpot_ms,1135,1135,0.14977973568281938,1.606889602400019e-11,-2.3836820221735455,-0.3485765243845974,False
results.1,balanced_5,sheddable,ttft_ms,1165,1165,0.12360515021459227,3.585075867066972e-08,5.571689218349539,0.17578659422801998,False
results.1,balanced_5,sheddable,e2e_ms,1165,1165,0.04721030042918455,0.14901938481125723,-2.294548638618679,-0.09340373589371899,True
results.1,balanced_5,sheddable,tpot_ms,1165,1165,0.14849785407725322,1.2806137840667327e-11,-2.4363465919471405,-0.35083679887854435,False
results.1,balanced_8,critical,ttft_ms,1877,1877,0.034096963239211506,0.2252984458155579,4.043880230675636,0.07933037405832044,True
results.1,balanced_8,critical,e2e_ms,1877,1877,0.019712306872669155,0.8592302671097894,0.9431310595192908,0.03401472856642846,True
results.1,balanced_8,critical,tpot_ms,1877,1877,0.04421949920085243,0.05092984891708233,0.8780850572979902,0.06695249165042846,True
results.1,balanced_8,sheddable,ttft_ms,1923,1923,0.0327613104524181,0.2534248776207513,4.87695487853361,0.08969173229857232,True
results.1,balanced_8,sheddable,e2e_ms,1923,1923,0.02080083203328133,0.7998627031618991,0.9452341411608534,0.03379524329478097,True
results.1,balanced_8,sheddable,tpot_ms,1923,1923,0.045761830473218926,0.03564101525715541,0.8694810890428176,0.06290965961346576,True
results.1,balanced_10,critical,ttft_ms,2384,2384,0.05704697986577181,0.0008520834751280179,31.779314241410646,0.26732859968515316,False
results.1,balanced_10,critical,e2e_ms,2384,2384,0.012583892617449664,0.9916561060047762,-0.23934324231208087,-0.007913800349053233,True
results.1,balanced_10,critical,tpot_ms,2384,2384,0.04320469798657718,0.0233445972788337,-0.8372221094592067,-0.04657236837727512,True
results.1,balanced_10,sheddable,ttft_ms,2416,2416,0.058774834437086095,0.00047321479122748865,34.1533504555736,0.2752561463754512,False
results.1,balanced_10,sheddable,e2e_ms,2416,2416,0.010347682119205299,0.9995008708781493,-0.23733076593779032,-0.0077374689228638495,True
results.1,balanced_10,sheddable,tpot_ms,2416,2416,0.03435430463576159,0.11550720810161204,-0.8993707140034083,-0.049563826442934666,True
results.1,balanced_15,critical,ttft_ms,3632,3632,0.12279735682819383,2.8768205251246837e-24,9.90602206279919,0.22550696283341992,False
results.1,balanced_15,critical,e2e_ms,3632,3632,0.08232378854625551,3.984019880854689e-11,3.3945422486166046,0.1448829271663745,True
results.1,balanced_15,critical,tpot_ms,3632,3632,0.05644273127753304,1.8790315767490577e-05,-0.6921771415340496,-0.09178258031705146,True
results.1,balanced_15,sheddable,ttft_ms,3667,3666,0.11716551285101146,2.019767179147924e-22,-8.321867984818441,-0.16093002650469584,False
results.1,balanced_15,sheddable,e2e_ms,3667,3666,0.10133887545708908,7.141857978180798e-17,-7.200587300398792,-0.16318050724095334,False
results.1,balanced_15,sheddable,tpot_ms,3667,3666,0.06779892498985735,8.565793329928164e-08,-1.0387896614116792,-0.08715722290162947,True
results.2,balanced_5,critical,ttft_ms,1135,1135,0.039647577092511016,0.3344057141403601,1.872060830560658,0.06816439281407702,True
results.2,balanced_5,critical,e2e_ms,1135,1135,0.02378854625550661,0.9052727700732939,0.933035322954441,0.03851954253606506,True
results.2,balanced_5,critical,tpot_ms,1135,1135,0.06431718061674009,0.01825752147434994,0.9056215082563379,0.12908369441552378,True
results.2,balanced_5,sheddable,ttft_ms,1165,1165,0.04978540772532189,0.1114108552220241,1.75114746042044,0.058021610212655866,True
results.2,balanced_5,sheddable,e2e_ms,1165,1165,0.022317596566523604,0.9339326194231569,0.9116374863587134,0.03656682938887279,True
results.2,balanced_5,sheddable,tpot_ms,1165,1165,0.054935622317596564,0.05942631720073763,0.9005411683114137,0.12701764131341117,True
results.2,balanced_8,critical,ttft_ms,1877,1877,0.020245071923281833,0.8365888592035851,0.01802121262290779,0.0005143246807081266,True
results.2,balanced_8,critical,e2e_ms,1877,1877,0.013851891315929675,0.9937740400678237,0.5070656481411904,0.018435599865519105,True
results.2,balanced_8,critical,tpot_ms,1877,1877,0.02876931273308471,0.4190861112499395,0.5197163155865109,0.04059523322574481,True
results.2,balanced_8,sheddable,ttft_ms,1923,1923,0.021320852834113363,0.7747349950092143,-0.8749060045504131,-0.024579993505752316,True
results.2,balanced_8,sheddable,e2e_ms,1923,1923,0.014040561622464899,0.9914495608050216,0.5320296405075317,0.019131508552269985,True
results.2,balanced_8,sheddable,tpot_ms,1923,1923,0.029121164846593862,0.3886959530778035,0.5581634480800725,0.04128899065907728,True
results.2,balanced_10,critical,ttft_ms,2384,2384,0.04530201342281879,0.014993799832604082,-19.216649885285307,-0.22681482006093118,False
results.2,balanced_10,critical,e2e_ms,2384,2384,0.013003355704697987,0.9877689759195426,-0.5512863312855322,-0.018215073446160537,True
results.2,balanced_10,critical,tpot_ms,2384,2384,0.015100671140939598,0.948692962863291,-0.10656425967211125,-0.005817352666427462,True
results.2,balanced_10,sheddable,ttft_ms,2416,2416,0.042218543046357616,0.026956389595732357,-17.50678661201541,-0.2221204166040891,False
results.2,balanced_10,sheddable,e2e_ms,2416,2416,0.01283112582781457,0.988658762143742,-0.45111061209728864,-0.014680153544212706,True
results.2,balanced_10,sheddable,tpot_ms,2416,2416,0.018625827814569538,0.7961936730728305,-0.0422308760331723,-0.0022878723560015206,True
results.2,balanced_15,critical,ttft_ms,3633,3633,0.08505367464905036,7.496477671881078e-12,-4.970056142444974,-0.11363755836622473,True
results.2,balanced_15,critical,e2e_ms,3633,3633,0.05615194054500413,2.1098742691541347e-05,-2.107938314863108,-0.09010723250061688,True
results.2,balanced_15,critical,tpot_ms,3633,3633,0.038810900082576386,0.008397587572611803,-0.24728013176065217,-0.03297147549020264,True
results.2,balanced_15,sheddable,ttft_ms,3666,3667,0.0902892178675618,1.855177909309302e-13,-3.274326627808576,-0.06207001853226951,True
results.2,balanced_15,sheddable,e2e_ms,3666,3667,0.06821102857633386,7.303935844135611e-08,-2.7549580399033484,-0.06124641647025748,True
results.2,balanced_15,sheddable,tpot_ms,3666,3667,0.034326517854127526,0.025440388055712405,-0.027657455395016295,-0.0023680048340200674,True
results.3,balanced_5,critical,ttft_ms,1135,1135,0.1013215859030837,1.7146848758919062e-05,-3.6832762440582436,-0.13108877653255335,False
results.3,balanced_5,critical,e2e_ms,1135,1135,0.03788546255506608,0.38940303983436736,1.7212879846876246,0.07047012902450267,True
results.3,balanced_5,critical,tpot_ms,1135,1135,0.11806167400881057,2.614404498401705e-07,1.8167387644589015,0.24988226852319467,False
results.3,balanced_5,sheddable,ttft_ms,1165,1165,0.1055793991416309,4.498573168353659e-06,-3.786315166588581,-0.12591857466751424,False
results.3,balanced_5,sheddable,e2e_ms,1165,1165,0.04291845493562232,0.23360979700234705,1.8051528110617419,0.07198152196874862,True
results.3,balanced_5,sheddable,tpot_ms,1165,1165,0.11330472103004292,6.229596919703151e-07,1.9544731251920509,0.2672103592694094,False
results.3,balanced_8,critical,ttft_ms,1877,1877,0.03249866808737347,0.27480345477655904,-10.031211864077513,-0.12357157230134622,False
results.3,balanced_8,critical,e2e_ms,1877,1877,0.015450186467767715,0.978562373202334,0.6487639184173706,0.023479438254114644,True
results.3,balanced_8,critical,tpot_ms,1877,1877,0.04421949920085243,0.05092984891708233,0.8867175247484309,0.06862961603755525,True
results.3,balanced_8,sheddable,ttft_ms,1923,1923,0.01924076963078523,0.868855831686114,-10.199589770161705,-0.1266974421106969,False
results.3,balanced_8,sheddable,e2e_ms,1923,1923,0.0202808112324493,0.8240476689298223,0.7324821240828963,0.026254056325043764,True
results.3,balanced_8,sheddable,tpot_ms,1923,1923,0.055122204888195525,0.005792172664279712,0.9670722709536919,0.0710062205751761,True
results.3,balanced_10,critical,ttft_ms,2384,2384,0.041107382550335574,0.035590671604934544,6.029746298363976,0.1158864724368461,True
results.3,balanced_10,critical,e2e_ms,2384,2384,0.059983221476510064,0.0003752933373223002,3.3440693993483226,0.10927964624135274,True
results.3,balanced_10,critical,tpot_ms,2384,2384,0.09437919463087248,1.1664081196958926e-09,3.3030306303021404,0.17965335950502018,True
results.3,balanced_10,sheddable,ttft_ms,2416,2416,0.05091059602649007,0.003809464817200891,9.97518580821554,0.13958186980456674,True
results.3,balanced_10,sheddable,e2e_ms,2416,2416,0.05132450331125828,0.003439016866664928,3.437764513603515,0.11041577227670747,True
results.3,balanced_10,sheddable,tpot_ms,2416,2416,0.08981788079470199,6.710621764958163e-09,3.308140992704161,0.17837974942026655,True
results.3,balanced_15,critical,ttft_ms,3632,3632,0.11949339207048458,5.341659337328257e-23,12.93906501796484,0.2894950340838125,False
results.3,balanced_15,critical,e2e_ms,3632,3632,0.09719162995594714,2.3960072969817402e-15,5.4520849638894795,0.22818125882182305,True
results.3,balanced_15,critical,tpot_ms,3632,3632,0.06993392070484582,3.813531126613062e-08,0.9911599080437752,0.12881113549546377,True
results.3,balanced_15,sheddable,ttft_ms,3667,3667,0.0998091082628852,2.5817983197056514e-16,5.723591929508049,0.1021235597017162,True
results.3,balanced_15,sheddable,e2e_ms,3667,3667,0.09544586855740388,5.927118735136235e-15,5.26176417824166,0.11106302296532501,True
results.3,balanced_15,sheddable,tpot_ms,3667,3667,0.186801199890919,2.565315928993427e-56,2.9572312905041502,0.24499504050628773,False
