execution,slo_class,metric,median_pct,ci_lo,ci_hi,n_baseline,n_treatment
results.1,critical,ttft_ms,-55.62381606889851,-56.98950994749635,-54.18672399817711,3632,3633
results.1,critical,e2e_ms,-31.27231865173782,-32.120084090684344,-30.399057107889373,3632,3633
results.1,sheddable,ttft_ms,16.796942878347707,14.198513250363847,19.547831633503193,3667,3667
results.1,sheddable,e2e_ms,12.626026181640583,10.413175542370555,14.922628063398605,3667,3667
results.2,critical,ttft_ms,-51.714182092379424,-53.38170961055817,-50.00362762455164,3633,3633
results.2,critical,e2e_ms,-29.121775910951094,-30.091723280152646,-28.15499363299358,3633,3633
results.2,sheddable,ttft_ms,20.411821165558955,17.611072652830433,23.298659087516594,3666,3667
results.2,sheddable,e2e_ms,16.232477107729174,13.908662125578822,18.619268189317513,3666,3667
results.3,critical,ttft_ms,-61.7027301899578,-62.97521668168273,-60.417205247569434,3632,3633
results.3,critical,e2e_ms,-33.84637738786425,-34.66383344758729,-33.03958964175151,3632,3633
results.3,sheddable,ttft_ms,31.017357839495347,27.986851593213515,34.11839200378997,3667,3667
results.3,sheddable,e2e_ms,24.50694125680605,22.033774219722293,27.023285093725388,3667,3667
